Country,Economy (GDP per Capita),Family or social support,Health (Life Expectancy),Freedom to make life choices,Trust (Government Corruption),Generosity
World Average,27.4198152,31.9551837,18.4976904,12.0925812,3.6505715,6.3841581
Afghanistan,24.3710023,27.9633358,17.3823575,8.0476492,3.9645621,18.2710931
Albania,30.6317752,24.6367742,25.7060393,12.136685,1.4098366,5.4788897
Algeria,32.1986332,34.1453265,21.13989,5.6719084,4.6439956,2.2002462
Argentina,28.9242423,34.6496851,19.8088463,12.5382979,1.6741681,2.4047603
Armenia,30.3478968,32.2190915,25.2383089,7.8128408,1.4020339,2.979828
Australia,27.5989969,27.8784009,18.0947484,11.9713046,6.2240918,8.2324574
Austria,29.5659076,28.8390248,18.6841289,12.1983343,4.5302194,6.1823849
Azerbaijan,32.2369245,30.9790187,18.6055204,11.4261355,5.2771822,1.4752188
Bahrain,32.395681,28.9704239,16.8970038,12.0936871,4.9101437,4.7330605
Bangladesh,20.5863361,25.0784198,23.3111994,18.7897634,5.2034884,7.0307929
Belarus,29.2691791,36.0976376,18.8497368,8.1342051,4.412061,3.2371805
Belgium,29.8918468,29.5026999,19.1876264,11.7090425,5.1691324,4.539652
Benin,22.5690304,20.3959585,16.4896576,25.123481,4.2753103,11.1465623
Bhutan,22.4783656,32.8011266,14.7318073,13.606116,4.5170901,11.8654944
Bolivia,23.9201397,34.1428284,16.8134061,17.2059287,2.1445206,5.7731764
Bosnia and Herzegovina,29.5711131,31.584006,24.4261281,5.6721164,0.053066,8.6935703
Botswana,33.1977583,34.8939176,10.6630235,15.4587678,3.2959722,2.4905606
Brazil,27.6568211,35.421639,18.227133,11.8590084,3.2225991,3.6127994
Bulgaria,30.8186103,36.8389492,20.8746595,8.3804099,0.2207948,2.8665763
Burkina Faso,14.4539439,42.9833887,12.2560973,14.8829797,5.6498264,9.7737639
Burundi,5.4820723,41.3321916,18.5767171,8.8947222,9.392608,16.3216888
Cambodia,18.3961023,29.4015655,17.1792518,21.4037775,2.3387575,11.2805454
Cameroon,22.8938279,37.5726597,8.8804352,19.2783308,2.208675,9.1660713
Canada,27.8601067,27.8457147,18.0744232,12.2620089,6.1384146,7.8193318
Chad,22.3357858,46.9996532,5.5483273,10.3888701,3.4354908,11.2918728
Chile,29.4913722,30.2340076,21.2383263,9.9740296,2.224372,6.8378923
China,29.0891632,29.9664709,23.1086199,14.7726456,1.6295583,1.4335421
Colombia,27.264826,35.7690368,18.4439314,13.5128063,1.2349018,3.7744977
Congo (Brazzaville),29.9376231,29.6826287,14.3618127,17.5221504,3.8440506,4.6517344
Congo (Kinshasa),3.3489328,56.9197553,11.156941,12.8819902,3.2471796,12.445201
Costa Rica,25.4348504,32.2992774,20.4393301,14.5200867,2.4824749,4.8239804
Croatia,34.4379174,28.6862573,22.9856345,8.5453787,1.0066917,4.3381203
Cyprus,32.7680871,26.4499137,23.4816577,9.6942579,1.1873155,6.4187681
Czech Republic,31.6343946,33.0380241,20.6332079,11.8140786,0.8640885,2.0162062
Denmark,27.4736981,28.4760774,17.0194787,12.3126411,8.4458011,6.2723035
Dominican Republic,26.6115299,34.1260507,17.1008986,14.5145163,3.1244629,4.5225416
Ecuador,25.9088986,32.3208515,21.0365126,13.3911401,3.9565377,3.3860595
Egypt,33.0857855,30.8183789,20.4339487,8.5619632,3.2599615,3.8399622
El Salvador,26.0279315,34.4481849,20.6903801,13.1747901,2.9483358,2.7103776
Estonia,30.2334672,33.2960188,18.3706575,11.6802169,4.1778904,2.2417492
Ethiopia,12.888419,33.6626498,18.1248741,17.629589,6.4463077,11.2481604
Finland,27.6760212,29.2560471,17.8224,12.6766031,8.1271226,4.4418059
France,30.7793674,30.1869773,20.981306,11.1838119,4.195351,2.6731864
Gabon,36.8405696,34.3106538,14.1392491,10.453494,2.5881976,1.667836
Georgia,31.7613656,17.9042221,25.3987583,13.0989526,9.9148551,1.9218463
Germany,29.4331794,28.6776685,18.3671965,11.7827894,5.5927108,6.1464554
Ghana,25.1022326,31.3954314,14.9677715,17.599277,1.404583,9.5307045
Greece,37.0120838,32.4315853,26.8383569,2.6339698,1.0840042,0
Guatemala,23.4765793,33.2224937,17.922212,16.0161237,2.3747029,6.9878884
Guinea,14.6995904,34.283252,12.9965471,18.9420957,5.7161535,13.3623614
Haiti,16.6552568,31.7882979,17.3199035,4.6050038,6.5038158,23.1277222
Honduras,21.3855163,34.4962947,21.5765311,12.9212255,2.3629316,7.2575009
Hong Kong,30.5381586,24.1166147,21.197128,10.6039351,6.5321545,7.0120091
Hungary,33.9324793,35.4404715,20.7578049,6.4968427,0.8507223,2.5216794
Iceland,27.8732539,30.010005,18.4494096,12.4243437,2.8173402,8.4256476
India,28.1967628,22.6942091,19.2525117,17.809858,3.414006,8.6326523
Indonesia,25.3903098,31.184928,15.4718678,12.8516326,0.3558462,14.7454156
Iran,34.4071532,20.5952276,21.847736,9.7304911,2.636944,10.7824481
Iraq,35.2449303,29.3298007,18.4085944,7.3120249,3.8208735,5.8837762
Ireland,28.9495701,28.6451091,17.4229332,11.3424682,5.9427196,7.6971997
Israel,29.7202984,30.1350922,20.5781375,9.5175288,2.7555127,7.2934304
Italy,32.6347588,33.2029884,23.1041229,6.0654757,0.6995388,4.2931154
Ivory Coast,25.012786,35.9773181,5.099191,19.6005478,6.017267,8.29289
Jamaica,24.1606235,36.4386793,19.4622565,14.0002292,1.0173864,4.9208251
Japan,30.4189511,30.1746101,22.2637117,11.2211637,3.7483415,2.1732219
Jordan,26.8784976,33.3574233,19.902175,12.0323105,3.8982007,3.9313928
Kazakhstan,31.0967464,33.8848245,16.6314307,11.6139855,2.7799814,3.9930315
Kenya,17.7166954,35.1039686,14.8849595,16.003533,2.1516315,14.1392119
Kosovo,27.935773,32.2681708,19.3946179,10.1066806,1.2681658,9.0265919
Kuwait,36.216277,27.5788524,16.1831353,11.77977,4.2413877,4.0005776
Kyrgyzstan,16.5737034,38.8300664,18.7975605,14.2996171,1.1451459,10.3539067
Latvia,32.3088937,34.7229579,19.0005121,8.3372033,1.9410293,3.6894036
Lebanon,30.3148368,29.1384375,23.0570089,9.4246067,1.6222238,6.4428864
Liberia,4.9741256,43.9714945,16.8691415,18.553104,2.371569,13.2605654
Libya,29.6981222,33.8822333,16.5679453,12.2664461,3.3783917,4.2068614
Lithuania,34.1868697,37.9075189,19.6325714,7.0854268,0.4899904,0.6976229
Luxembourg,32.419547,26.590907,17.8855623,11.5575792,6.6796123,4.8667921
Madagascar,13.9469828,40.5550614,22.7681323,9.3030687,3.2888555,10.1378993
Malawi,8.3460307,25.4029261,19.1272598,26.7344815,4.5278248,15.861477
Malaysia,31.1166579,29.1344418,17.8145351,11.2482726,1.7715893,8.9145032
Mali,15.9253521,48.6896779,8.8119158,14.688123,4.1732543,7.7116769
Malta,26.9284967,29.0469688,18.411595,12.3630101,3.1729677,10.0769616
Mauritania,23.3652523,44.3282411,14.0636635,5.4251807,5.5229575,7.2947049
Mauritius,28.8716737,29.8599205,18.1602364,13.4995523,1.4533898,8.1552272
Mexico,29.8615042,29.962033,21.3461852,12.0824249,3.8590861,2.8887667
Moldova,23.1720192,39.5326918,21.3269837,8.9587596,0.3124782,6.6970674
Mongolia,25.9092298,38.1619184,16.2809791,10.4723819,0.8941812,8.2813096
Montenegro,31.4189705,33.1199432,21.7456285,5.9021147,3.1128587,4.7004843
Morocco,30.463324,25.5335852,24.5683336,14.7995475,3.0758988,1.5593109
Myanmar,14.3220833,29.5167561,13.6666032,15.0182923,5.6265322,21.8497328
Nepal,15.0270572,36.1892388,19.4337112,15.0353874,2.5715075,11.7430979
Netherlands,28.5477398,27.3061555,17.7752912,11.9298697,6.0415926,8.3993513
New Zealand,25.8362547,28.232976,17.4845596,12.1146661,7.8442702,8.4872734
Nicaragua,19.4670696,34.3093002,20.5994144,13.9698505,4.2642008,7.3901645
Niger,6.5590658,41.569913,14.653123,19.9871366,6.9185837,10.3121779
Nigeria,28.8081108,40.6753969,4.5208504,15.3484031,1.3691622,9.2780767
